radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,605,2,137,263106,0,10.216,36.772,1052,1,1,,,0
LTE,605,1,10005,273667,0,10.21,36.772,1000,1,1,,,0
UMTS,605,1,10005,77727,0,10.227,36.76,1000,1,1,,,0
UMTS,605,2,137,267135,0,10.226,36.761,1000,1,1,,,0
UMTS,605,2,137,267141,0,10.226,36.761,1000,1,1,,,0
UMTS,605,1,10001,67372,0,10.226,36.762,1000,1,1,,,0
UMTS,605,2,137,267138,0,10.225,36.762,1000,1,1,,,0
UMTS,605,3,2154,132890,0,10.225,36.762,1000,1,1,,,0
UMTS,605,1,10005,75627,0,10.226,36.762,1000,1,1,,,0
GSM,605,2,411,53854,0,10.226,36.762,1000,1,1,,,0
GSM,605,2,401,50261,0,10.226,36.762,1000,1,1,,,0
GSM,605,3,1118,11328,0,10.228,36.762,1000,1,1,,,0
LTE,605,3,4154,3086337,0,10.224,36.763,1000,1,1,,,0
UMTS,605,2,137,265999,0,10.226,36.764,1000,1,1,,,0
GSM,605,3,1154,12817,0,10.223,36.764,1000,1,1,,,0
LTE,605,1,10005,258308,0,10.226,36.764,1000,1,1,,,0
UMTS,605,3,2154,132888,0,10.228,36.764,1000,1,1,,,0
LTE,605,2,137,11526657,0,10.222,36.764,1000,1,1,,,0
LTE,605,2,137,11647755,0,10.218,36.764,1000,1,1,,,0
GSM,605,3,1154,11071,0,10.217,36.764,1000,1,1,,,0
UMTS,605,1,10005,119568,0,10.226,36.764,1000,1,1,,,0
UMTS,605,1,22204,149447,0,10.224,36.764,4137,1,1,,,0
LTE,605,2,137,11618572,0,10.221,36.765,1184,1,1,,,0
LTE,605,2,137,11618581,0,10.225,36.765,1000,1,1,,,0
UMTS,605,3,2154,169834,0,10.221,36.765,2053,1,1,,,0
GSM,605,3,1154,11468,0,10.224,36.765,1000,1,1,,,0
LTE,605,2,137,11618571,0,10.224,36.765,1000,1,1,,,0
UMTS,605,2,137,266000,0,10.221,36.765,1000,1,1,,,0
GSM,605,3,1154,11073,0,10.223,36.765,1000,1,1,,,0
LTE,605,3,4164,3086337,0,10.223,36.765,1000,1,1,,,0
LTE,605,1,10005,273669,0,10.225,36.765,1000,1,1,,,0
